"","ID","trial","environment","mem","C_QuestionNum","SizeZ","CurZ"
"45",102,58,1,1,85,0.10075562757457,0.36788403360831
"46",102,59,1,0,927,-0.423162269491052,-1.42236745034861
"47",102,60,1,1,284,0.0764427939585247,-0.015039322420958
"48",102,61,1,1,931,0.174382633445462,0.557307744181886
"49",102,62,1,1,352,0.573130317374176,-1.49846509661833
"50",102,63,1,0,802,-0.0739783408879327,-0.796438943898027
"51",102,64,1,1,411,-0.676015739097925,0.708975426373865
"52",102,65,1,0,210,-0.21924429437651,0.423659984626575
"53",102,66,1,1,203,-0.337572488849788,1.11442368569896
"54",102,67,1,1,769,-0.3783319861969,0.197338337225525
"55",102,68,1,1,853,-0.578893499325509,-0.14799475810873
"56",102,69,1,1,898,-0.388715162281683,-0.460586860140847
"57",102,70,1,0,836,0.0466563454115749,2.61458224520182
"58",102,71,1,1,270,0.815363597005049,0.150749562085686
"59",102,72,0,0,591,-0.507641835783123,-0.291773848626971
"60",102,73,0,1,1005,-1.15364888600882,-0.283853003511945
"61",102,74,0,1,433,-0.632166575461198,0.635114696961926
"62",102,75,0,0,286,-0.601536708261373,-1.14707660520324
"63",102,76,0,1,595,-0.540097969468508,1.07500510493124
"64",102,77,0,0,432,-0.190025862473333,-1.20320622909179
"65",102,78,0,1,731,-0.874761320229018,1.60182425275998
"66",102,79,0,1,600,-0.710733604870359,-0.0145684185193021
"67",102,80,0,1,649,-1.05128540175068,-1.0644852931185
"68",102,82,0,1,422,-1.4308410081701,-1.50450836335624
"69",102,83,0,1,556,-1.08351769719454,0.598548461435729
"70",102,84,0,0,342,-1.1280537117879,-1.46693023200416
"71",102,85,0,0,496,-1.01716137156038,0.194368020307396
"72",102,86,0,1,237,-0.92067833357942,1.28239510741935
"73",102,87,0,1,985,-1.10293188477011,-0.879896598417229
"74",102,88,0,0,710,-1.29362195713497,-0.903892649243264
"75",102,89,0,1,499,-0.621554991797983,-0.951724262073886
"76",102,90,0,0,9,-1.39056233578338,1.14174112161094
"77",102,91,0,0,844,-0.916312598352298,-0.488062291633572
"78",102,92,0,1,613,0.111246722858804,0.164240520137758
"79",102,93,0,1,349,-1.07744859261538,1.31714781536151
"80",102,94,0,1,718,-0.718100608613841,-0.788179812689554
"81",102,95,0,1,409,-0.764488634521977,0.956749362628087
"82",102,96,0,1,298,-0.905597738935669,-1.0306804770094
"83",102,97,0,0,633,-0.947803096830567,0.100803037386218
"84",102,98,0,1,664,-0.347920978456593,1.39223082634765
"85",103,1,0,1,545,2.31138091965844,-0.0742768927768857
"86",103,2,0,1,890,1.48864341570339,2.38794706434831
"87",103,3,0,0,460,1.90760563106713,0.159714322929176
"88",103,4,0,1,751,1.27113533633152,2.94360117748173
"89",103,5,0,1,67,1.08344508898447,-0.746479863511106
"90",103,6,0,0,917,1.28680760392231,0.0401237060586576
"91",103,7,0,0,852,1.31056574378784,-1.01012519316455
"92",103,8,0,1,286,1.52445025918577,-1.14707660520324
"93",103,9,0,NA,164,1.51942250527135,0.0107034242028586
"94",103,10,0,0,944,1.28074319971626,-0.603904651440736
"95",103,11,0,0,982,0.867430728441915,0.205061161212676
"96",103,12,0,1,39,1.36694067146559,-0.30464522193888
"97",103,13,0,0,620,0.949057514814505,0.647407357365245
"98",103,14,0,0,431,0.929248070150742,-1.38584058013914
"99",103,15,0,1,428,1.12956660286861,-0.0854028298593855
"100",103,16,0,1,581,0.432650172037197,-0.635010470277842
"101",103,17,0,1,863,0.793192431420604,-0.431347802977973
"102",103,18,0,0,84,1.07979325272985,1.84136374661013
"103",103,19,0,1,768,0.532093207285546,-1.27376545154521
"104",103,20,0,1,137,1.11029433153778,-0.702370657276827
"105",103,21,0,0,857,1.07780005694185,1.50973573854093
"106",103,22,0,0,496,0.747886101629433,0.194368020307396
"107",103,23,0,1,88,0.571726232753413,0.0171391108588197
"108",103,24,0,0,285,0.774994506755653,-0.636375615932148
"109",103,25,0,1,981,-0.0118324886878565,2.01175297280993
"110",103,26,0,1,298,0.55316076843961,-1.0306804770094
"111",103,27,0,1,761,0.683670328109508,-0.719522510550612
"112",103,28,0,0,34,0.248498671822037,0.716164225298068
"113",103,29,0,0,160,0.720956754280858,-0.719982463198734
"114",103,30,0,1,819,0.573988015207886,1.89434846231738
"115",103,31,1,0,192,0.389299341659789,0.840907002820923
"116",103,32,1,1,6,0.502313071634979,-0.242549542582778
"117",103,33,1,0,556,0.432824517768062,0.598548461435729
"118",103,34,1,0,822,0.38778206259658,-1.51217590732014
"119",103,35,1,0,942,0.606929934247936,-0.99296435986289
"120",103,36,1,0,445,0.135254532664501,-0.313092060674819
"121",103,37,1,1,60,0.369480472902465,0.489357619239437
"122",103,38,1,0,844,0.0474497718532485,-0.488062291633572
"123",103,39,1,1,871,-0.432354391535832,1.22900688942127
"124",103,40,1,NA,497,-0.0343607843437681,0.499320557235666
"125",103,41,1,1,335,1.03239006212151,-0.980392320814043
"126",103,42,1,1,791,0.121485450863013,0.946272663420728
"127",103,43,1,1,433,0.198626368700897,0.635114696961926
